CB_Effective_Denisty,VB_Effective_Denisty,Electron mobility,Hole mobility,Electron Affinity,Bandgap,Dielectric permittivity,eta (%)                      ,Voc (V)                      ,Jsc (mA/cm2)                 ,FF (%)                       
1.00E+18,1.20E+18,3.25E+00,1.50E+00,3.73E+00,1.75E+00,3.00E+00,1.83E+01,1.44E+00,1.54E+01,8.28E+01
1.00E+18,1.20E+18,3.25E+00,1.50E+00,3.73E+00,1.75E+00,4.33E+00,1.83E+01,1.44E+00,1.54E+01,8.28E+01
1.00E+18,1.20E+18,3.25E+00,1.50E+00,3.73E+00,1.75E+00,5.67E+00,1.83E+01,1.44E+00,1.54E+01,8.28E+01
1.00E+18,1.20E+18,3.25E+00,1.50E+00,3.73E+00,1.75E+00,7.00E+00,1.83E+01,1.44E+00,1.54E+01,8.28E+01
1.00E+18,1.20E+18,3.25E+00,1.50E+00,3.73E+00,1.77E+00,3.00E+00,1.81E+01,1.45E+00,1.51E+01,8.27E+01
1.00E+18,1.20E+18,3.25E+00,1.50E+00,3.73E+00,1.77E+00,4.33E+00,1.81E+01,1.45E+00,1.51E+01,8.27E+01
1.00E+18,1.20E+18,3.25E+00,1.50E+00,3.73E+00,1.77E+00,5.67E+00,1.81E+01,1.45E+00,1.51E+01,8.27E+01
1.00E+18,1.20E+18,3.25E+00,1.50E+00,3.73E+00,1.77E+00,7.00E+00,1.81E+01,1.45E+00,1.50E+01,8.27E+01
1.00E+18,1.20E+18,3.25E+00,1.50E+00,3.73E+00,1.78E+00,3.00E+00,1.78E+01,1.47E+00,1.47E+01,8.26E+01
1.00E+18,1.20E+18,3.25E+00,1.50E+00,3.73E+00,1.78E+00,4.33E+00,1.78E+01,1.47E+00,1.47E+01,8.26E+01
1.00E+18,1.20E+18,3.25E+00,1.50E+00,3.73E+00,1.78E+00,5.67E+00,1.78E+01,1.47E+00,1.47E+01,8.26E+01
1.00E+18,1.20E+18,3.25E+00,1.50E+00,3.73E+00,1.78E+00,7.00E+00,1.78E+01,1.47E+00,1.47E+01,8.26E+01
1.00E+18,1.20E+18,3.25E+00,1.50E+00,3.73E+00,1.80E+00,3.00E+00,1.73E+01,1.48E+00,1.41E+01,8.25E+01
